fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
10,207,Newton,1,0,77.16804747,1,591,266,325,140,374,77,362,27,1,128,0,0,8,65,150,68,45,35,2,0,0,130,99,24,6,0,1,0,0,895,24,7,24,7,37,62,8,0,27,7,58,63,110,34,200,227
97,207,Newton,1,1,77.16804747,1,309,146,163,42,160,107,271,6,0,28,0,0,0,4,105,73,13,12,7,0,0,34,27,7,0,0,0,0,0,648,55,18,24,26,24,6,23,18,8,24,52,23,28,30,60,229
12,208,Norfolk,1,0,0,1,311,156,155,111,186,14,299,0,0,4,0,0,4,4,82,25,17,23,9,5,3,10,7,1,1,0,1,0,0,836,10,10,20,6,60,8,0,7,11,37,58,51,108,93,119,238
62,213,North Reading,1,0,1.141321757,1,1040,548,492,291,639,110,998,4,1,21,0,2,6,8,296,103,66,78,36,9,4,52,46,3,2,1,0,0,0,756,0,12,7,0,0,0,17,0,0,67,31,99,115,45,136,227
129,213,North Reading,1,1,1.141321757,1,30,14,16,5,20,5,29,0,0,0,0,0,0,1,5,3,0,1,0,0,1,11,10,1,0,0,0,0,0,704,16,0,0,0,0,0,0,0,0,57,115,116,73,44,145,138
68,219,Norwell,1,0,0,1,451,229,222,137,252,62,433,0,0,8,0,0,8,2,130,52,30,24,13,8,3,20,16,4,0,0,0,0,0,894,0,0,22,25,17,9,9,15,42,45,82,24,67,49,106,382
46,220,Norwood,1,0,57.1573679,1,198,96,102,45,111,42,186,0,0,0,0,4,4,4,60,25,17,9,5,4,0,10,8,2,0,0,0,0,0,1116,189,107,29,63,0,45,15,40,82,26,111,77,231,50,27,24
130,220,Norwood,1,1,57.1573679,1,501,244,257,138,286,77,452,12,0,14,0,0,4,19,141,50,40,32,10,6,3,35,27,7,1,0,0,0,0,605,0,0,0,0,0,0,12,26,8,26,36,164,85,51,123,74
63,229,Peabody,1,0,89.0655599,1,310,139,171,48,187,75,304,1,0,4,0,0,0,1,91,48,19,12,10,2,0,40,35,3,2,0,0,0,0,922,0,0,43,0,15,58,0,0,0,19,79,216,95,114,196,87
133,229,Peabody,1,1,89.0655599,1,576,279,297,107,326,143,547,6,0,8,0,0,4,11,168,86,29,27,22,1,3,67,63,4,0,0,0,0,0,1327,131,23,99,45,0,25,25,19,22,146,30,223,154,152,54,179
